varcode,name,var_class,entity_table
a8404,RatioOfCustomersAtAddressWithSuccessfullyClosedCasesLast36Months,variable,address
ap090,TargetAmount90Days,target,case
c0001,OriginalCapitalOfCaseInvoices,variable,case
c0015,AmountOfCase,variable,case
c0019,AgeOfDebt,variable,case
c0031,NumberOfTelephonesCI,variable,case
c0039,IndustryCode,variable,case
c0044,ClientName,variable,case
c9008,CustomerAge,variable,case
ct090,Target90Days,target,case
b0007,AmountOfCustomerPaymentsOnAllCasesBlevel,variable,debtor
d0009,AmountOfCustomerOpenCases,variable,debtor_oc
d0012,LastOriginalClosingCodeOfCustomer,variable,debtor_oc
d0027,NumberOfCustomerIncomingCallDatesTee,variable,debtor_oc
d1205,NumberOfSuccessfullyClosedCasesInLast24Months,variable,debtor_oc
d2112,NumberOfCustomerPaymentsInLast12Months,variable,debtor_oc
d0031,NumberOfUnsuccessfullyClosedCustomerCasesLast36Months,variable,debtor_oc
